domain,company,kind,source
bigtera.com,Bigtera,company,cncf-gitdm
billimek.com,The Home Depot,company,cncf-gitdm-single
billmill.org,Ad Hoc,company,cncf-gitdm-single
billy.mx,SUSE,company,cncf-gitdm-single
binarytales.com,Feedforce,company,cncf-gitdm-single
binbash.co.uk,Financial Industry,company,cncf-gitdm-single
binghamton.edu,Google,company,cncf-gitdm-single
birkett.no,Semaphore / Rendered Text,company,cncf-gitdm-single
bit-isle.co.jp,Bit-isle,company,gitdm
bitarmory.com,Bit Armory,company,cncf-gitdm-single
bitbar.com,Bitbar Technologies,company,cncf-gitdm
bitdance.com,Murray and Walker,company,cncf-gitdm-single
bitergia.com,Bitergia,company,gitdm
bitextender.com,cleversoft,company,cncf-gitdm-single
bitfactory.nl,Bitfactory,company,cncf-gitdm-single
bitfieldconsulting.com,Bitfield Consulting,company,cncf-gitdm-single
bitnami.com,Bitnami,company,gitdm
bitron.ch,Codethink,company,cncf-gitdm-single
bitservices.io,Travis Perkins,company,cncf-gitdm-single
bitsushi.com,Bitsushi,company,cncf-gitdm-single
bitwagon.com,BitWagon Software,company,gitdm
bivio.net,Bivio Networking,company,gitdm
blablacar.com,BlaBlaCar,company,cncf-gitdm
blackboard.com,Blackboard,company,cncf-gitdm-single
blackdown.de,Empolis,company,cncf-gitdm-single
blackducksoftware.com,Black Duck Software,company,cncf-gitdm
blacklight-it.com,Google,company,cncf-gitdm
blackrock.com,BlackRock,company,cncf-gitdm
blacksquaremedia.com,Black Square Media,company,cncf-gitdm-single
blacktech.studio,BlackTechStudio,company,cncf-gitdm-single
blackwall.org,Cumulus Networks,company,cncf-gitdm-single
blala.de,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,company,cncf-gitdm-single
blennerhassett.gen.nz,Boracay And Leisure,company,cncf-gitdm-single
blitter.se,Blitter,company,cncf-gitdm-single
blizzard.com,Blizzard,company,gitdm
blockchain.com,Blockchain Holdings Capital Ventures,company,spinellis-sec
blogreen.org,FreeBSD,company,cncf-gitdm-single
bloomberg.net,Bloomberg,company,gitdm
bloomqu.ist,Innometrics,company,cncf-gitdm-single
blowmage.com,MountainWest Ruby,company,cncf-gitdm-single
bluebox.net,Blue Box,company,gitdm
bluecore.com,Bluecore,company,cncf-gitdm-single
bluedatainc.com,Bluek8s,company,cncf-gitdm-single
bluedotai.cn,BlueDot,company,cncf-gitdm-single
bluegiga.com,Bluegiga,company,gitdm
bluehost.com,Bluehost,company,gitdm
bluescape.com,Bluescape,company,cncf-gitdm-single
bluestealth.pw,Salesforce.com,company,cncf-gitdm-single
bluewatersys.com,Bluewater Systems,company,gitdm
bmc.com,BMC Software,company,cncf-gitdm
bmw.de,BMW,company,cncf-gitdm-single
bobuhiro11.net,Yahoo!,company,cncf-gitdm-single
boeing.com,Boeing,company,gitdm
boingram.com,Craftsy,company,cncf-gitdm-single
bol.com,Bol.com,company,cncf-gitdm-self-reference
bonsaimeme.com,bmeme,company,cncf-gitdm-single
bookmyshow.com,BookMyShow,company,cncf-gitdm-single
booleanhaiku.com,Twitter,company,cncf-gitdm-single
bootc.net,Tiger Computing,company,cncf-gitdm-single
bootjp.me,Supership,company,cncf-gitdm-single
bootlin.com,Bootlin,consultancy,patch
bootstrap.je,Bootstrap,company,cncf-gitdm-single
bork.org,Bork Consulting,company,cncf-gitdm-single
bosch-sensortec.com,Bosch,company,cncf-gitdm-single
bosch.io,Bosch,company,cncf-gitdm
bottnet.de,Karsten Bott,company,cncf-gitdm-single
bou.ke,DigitalOcean,company,cncf-gitdm-single
boundarydevices.com,Boundary Devices,company,gitdm
bourget.cc,Intel,company,cncf-gitdm-single
bourgon.org,✕✕✕✕✕,company,cncf-gitdm-single
box.com,BOX,company,spinellis-sec
bp.renesas.com,Renesas,company,patch
bracketangles.net,Microsoft,company,cncf-gitdm-single
bradfeehan.com,Zendesk,company,cncf-gitdm-single
bradmwalker.com,Google,company,cncf-gitdm-single
braincube.com,Braincube,company,cncf-gitdm-single
brainpool.ai,Brainpool,company,cncf-gitdm-single
brandonlamb.com,Starbucks,company,cncf-gitdm-single
brandonturner.net,Rapid7,company,cncf-gitdm-single
brandonwittwer.com,Do it Best,company,cncf-gitdm-single
brawer.ch,Google,company,cncf-gitdm-single
breizh.org,Genesys,company,cncf-gitdm-single
brendanforster.com,GitHub,company,cncf-gitdm-single
brennie.ca,Mozilla,company,cncf-gitdm-single
brevoort.com,Robots & Pencils,company,cncf-gitdm-single
brightcomputing.com,Bright Computing,company,gitdm
brightcove.com,BRIGHTCOVE,company,spinellis-sec
brinkster.com,Brinkster,company,gitdm
broadcom.com,Broadcom,company,gitdm
brocade.com,Brocade,company,gitdm
brokenpipe.de,Tailerade,company,cncf-gitdm-single
bronosky.com,Cox Media,company,cncf-gitdm-single
brontes3d.com,Brontes Technologies,company,gitdm
broomble.com,Stylify Your Blog,company,cncf-gitdm-single
brosner.com,Eldarion,company,cncf-gitdm-single
bsbess.com,World Wide Technology,company,cncf-gitdm-single
bu.edu,Independent,company,gitdm
buaa.us,Bytedance,company,cncf-gitdm-single
bubblenet.be,Bubblenet,company,cncf-gitdm-single
buberel.org,Altos Computing,company,cncf-gitdm-single
buddhalow.com,Powerstudio,company,cncf-gitdm-single
buddyexpress.net,XunLei Networks,company,cncf-gitdm-single
bues.ch,Literacy Bridge,company,cncf-gitdm-single
bugslifesolutions.com,Bugs Life Solutions,company,cncf-gitdm-single
build2be.com,build2be,company,cncf-gitdm-single
bulknews.net,Fastly,company,cncf-gitdm-single
bull.net,Bull SAS,company,gitdm
buoyant.io,Buoyant,company,cncf-gitdm
bupt.edu.cn,Beijing University of Posts and Telecommunications,company,cncf-gitdm-single
burbur.net,Keeward,company,cncf-gitdm-single
bureado.com,Azure,company,cncf-gitdm-single
burgerdev.de,SAP,company,cncf-gitdm-single
burningbarnlabs.com,WeScale,company,cncf-gitdm-single
burningbush.us,DataStax,company,cncf-gitdm-single
burton-krahn.com,Piston Cloud,company,cncf-gitdm-single
busbud.com,Busbud,company,rich
bvandewa.com,aporeto-inc,company,cncf-gitdm-single
bweston.me,LegalWebb,company,cncf-gitdm-single
bwong.net,Timehop,company,cncf-gitdm-single
bx.jp.nec.com,NEC,company,cncf-gitdm-single
byiq.com,Services Bylq,company,cncf-gitdm-single
bytedance.com,Bytedance,company,cncf-gitdm
c.michael-kaeufl.de,VMware,company,cncf-gitdm-single
c10l.cc,Ylex,company,cncf-gitdm-single
c238.com.ar,NetEase,company,cncf-gitdm-single
ca.ibm.com,International Business Machines,company,cncf-gitdm
cable.comcast.com,Comcast,company,gitdm
cablecats.de,STRATO,company,cncf-gitdm-single
cachemeoutside.io,UC Irvine,company,cncf-gitdm-single
caci.com,CACI INTERNATIONAL INC /DE/,company,spinellis-sec
cadami.net,Cadami,company,cncf-gitdm-single
caicloud.io,Caicloud,company,gitdm
caida.org,CAIDA,company,cncf-gitdm-single
cali.so,Zolplay,company,cncf-gitdm-single
calmkart.com,Alibaba Group,company,cncf-gitdm-single
calsoftinc.com,Calsoft,company,gitdm
calxeda.com,Calxeda,company,gitdm
cam.ac.uk,University of Cambridge,company,gitdm
cambridgeconsultants.com,Cambridge Consultants,company,cncf-gitdm-single
camptocamp.com,Camptocamp,company,cncf-gitdm
camunda.com,Camunda Services,company,cncf-gitdm-single
canada.ca,Statistics Canada,company,cncf-gitdm-single
candelatech.com,Candela,company,cncf-gitdm-single
canonical.com,Canonical,company,gitdm
canroot.com,Sandvine Incorporated,company,cncf-gitdm-single
