# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-13 by select_corpus.py — 1972 projects; labels from control facts
# size_class: S < 30k commits | M 30k-150k | L > 150k
telegram	https://github.com/DrKLO/Telegram.git	community	\.java$	S
apollo	https://github.com/apolloconfig/apollo.git	community	\.java$	S
yabai	https://github.com/asmvik/yabai.git	community	\.[ch]$	S
spdlog	https://github.com/gabime/spdlog.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
notepad-plus-plus	https://github.com/notepad-plus-plus/notepad-plus-plus.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
chroma	https://github.com/chroma-core/chroma.git	community	\.rs$	S
srs	https://github.com/ossrs/srs.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
opendataloader-pdf	https://github.com/opendataloader-project/opendataloader-pdf.git	community	\.java$	S
mindustry	https://github.com/Anuken/Mindustry.git	community	\.java$	S
wezterm	https://github.com/wezterm/wezterm.git	community	\.rs$	S
nautilus_trader	https://github.com/nautechsystems/nautilus_trader.git	community	\.rs$	S
keepassxc	https://github.com/keepassxreboot/keepassxc.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
deskflow	https://github.com/deskflow/deskflow.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
xgboost	https://github.com/dmlc/xgboost.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
colibri	https://github.com/JustVugg/colibri.git	community	\.[ch]$	S
mlx	https://github.com/ml-explore/mlx.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
openwrt	https://github.com/openwrt/openwrt.git	community	\.[ch]$	M
taichi	https://github.com/taichi-dev/taichi.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
chat2db	https://github.com/OtterMind/Chat2DB.git	community	\.java$	S
kestra	https://github.com/kestra-io/kestra.git	community	\.java$	S
vibe-kanban	https://github.com/BloopAI/vibe-kanban.git	community	\.rs$	S
niri	https://github.com/niri-wm/niri.git	community	\.rs$	S
emscripten	https://github.com/emscripten-core/emscripten.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
graphite	https://github.com/GraphiteEditor/Graphite.git	community	\.rs$	S
valkey	https://github.com/valkey-io/valkey.git	community	\.[ch]$	S
switchhosts	https://github.com/oldj/SwitchHosts.git	community	\.rs$	S
libuv	https://github.com/libuv/libuv.git	community	\.[ch]$	S
axum	https://github.com/tokio-rs/axum.git	community	\.rs$	S
rethinkdb	https://github.com/rethinkdb/rethinkdb.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
tree-sitter	https://github.com/tree-sitter/tree-sitter.git	community	\.rs$	S
obscura	https://github.com/h4ckf0r0day/obscura.git	community	\.rs$	S
ehviewer_cn_sxj	https://github.com/xiaojieonly/Ehviewer_CN_SXJ.git	community	\.[ch]$	S
fnm	https://github.com/Schniz/fnm.git	community	\.rs$	S
hashcat	https://github.com/hashcat/hashcat.git	community	\.[ch]$	S
awesome-low-level-design	https://github.com/ashishps1/awesome-low-level-design.git	community	\.java$	S
openapi-generator	https://github.com/OpenAPITools/openapi-generator.git	community	\.java$	S
grok-build	https://github.com/xai-org/grok-build.git	community	\.rs$	S
miaosha	https://github.com/qiurunze123/miaosha.git	community	\.java$	S
typesense	https://github.com/typesense/typesense.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
masscan	https://github.com/robertdavidgraham/masscan.git	community	\.[ch]$	S
llamafile	https://github.com/mozilla-ai/llamafile.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
difftastic	https://github.com/Wilfred/difftastic.git	community	\.rs$	S
modern-cpp-tutorial	https://github.com/changkun/modern-cpp-tutorial.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
rocket	https://github.com/rwf2/Rocket.git	community	\.rs$	S
biome	https://github.com/biomejs/biome.git	community	\.rs$	S
fmt	https://github.com/fmtlib/fmt.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
solidity	https://github.com/argotorg/solidity.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
apktool	https://github.com/iBotPeaches/Apktool.git	community	\.java$	S
libgdx	https://github.com/libgdx/libgdx.git	community	\.java$	S
v8	https://github.com/v8/v8.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
spacetimedb	https://github.com/clockworklabs/SpacetimeDB.git	community	\.rs$	S
tdengine	https://github.com/taosdata/TDengine.git	community	\.[ch]$	M
fhevm	https://github.com/zama-ai/fhevm.git	community	\.rs$	S
actix-web	https://github.com/actix/actix-web.git	community	\.rs$	S
radare2	https://github.com/radareorg/radare2.git	community	\.[ch]$	M
tasmota	https://github.com/arendst/Tasmota.git	community	\.[ch]$	S
lsposed	https://github.com/LSPosed/LSPosed.git	community	\.java$	S
lvgl	https://github.com/lvgl/lvgl.git	community	\.[ch]$	S
fastfetch	https://github.com/fastfetch-cli/fastfetch.git	community	\.[ch]$	S
sqlitebrowser	https://github.com/sqlitebrowser/sqlitebrowser.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
dataease	https://github.com/dataease/dataease.git	community	\.java$	S
redisson	https://github.com/redisson/redisson.git	community	\.java$	S
handbrake	https://github.com/HandBrake/HandBrake.git	community	\.[ch]$	S
turso	https://github.com/tursodatabase/turso.git	community	\.rs$	S
