iso	project	class	phase	elapsed_s	tree_rss_mb	tree_procs	cpu_pct	mem_used_mb	disk_free_gb	load1
2026-09-13T13:38:17+00:00	torvalds__linux	L	pipeline	30013	4872	46	85.5	23027	1363	30.275390625
2026-09-13T13:38:32+00:00	torvalds__linux	L	pipeline	30028	4671	32	89.4	23028	1363	29.58642578125
2026-09-13T13:38:47+00:00	torvalds__linux	L	pipeline	30043	4824	45	95.0	23436	1363	28.89599609375
2026-09-13T13:39:02+00:00	torvalds__linux	L	pipeline	30058	4874	48	83.2	22991	1363	29.20849609375
2026-09-13T13:39:17+00:00	torvalds__linux	L	pipeline	30073	4932	56	93.3	22978	1363	28.4462890625
2026-09-13T13:39:32+00:00	torvalds__linux	L	pipeline	30088	4844	46	93.8	23094	1362	28.62255859375
2026-09-13T13:39:47+00:00	torvalds__linux	L	pipeline	30103	4834	44	88.4	23398	1362	27.2509765625
2026-09-13T13:40:02+00:00	torvalds__linux	L	pipeline	30118	5070	62	91.5	23143	1362	27.70947265625
2026-09-13T13:40:17+00:00	torvalds__linux	L	pipeline	30133	5000	59	70.0	23019	1362	25.63232421875
2026-09-13T13:40:32+00:00	torvalds__linux	L	pipeline	30149	4816	44	93.7	23100	1362	25.98828125
2026-09-13T13:40:47+00:00	torvalds__linux	L	pipeline	30164	4747	37	90.6	23102	1362	27.83447265625
2026-09-13T13:41:02+00:00	torvalds__linux	L	pipeline	30179	4963	56	91.8	23127	1362	28.69482421875
2026-09-13T13:41:17+00:00	torvalds__linux	L	pipeline	30194	4957	57	91.3	23050	1362	29.296875
2026-09-13T13:41:33+00:00	torvalds__linux	L	pipeline	30209	4916	54	94.1	22956	1362	30.787109375
2026-09-13T13:41:48+00:00	torvalds__linux	L	pipeline	30224	4767	40	94.8	23105	1361	31.7333984375
2026-09-13T13:42:03+00:00	torvalds__linux	L	pipeline	30239	5287	80	90.9	23236	1361	31.27880859375
2026-09-13T13:42:18+00:00	torvalds__linux	L	pipeline	30254	4634	26	91.3	22917	1361	31.27294921875
2026-09-13T13:42:33+00:00	torvalds__linux	L	pipeline	30269	5155	73	94.1	23055	1361	31.36083984375
2026-09-13T13:42:48+00:00	torvalds__linux	L	pipeline	30284	4602	21	92.3	22921	1361	31.037109375
2026-09-13T13:43:03+00:00	torvalds__linux	L	pipeline	30299	4627	24	90.4	23063	1361	28.4111328125
2026-09-13T13:43:18+00:00	torvalds__linux	L	pipeline	30314	4914	56	93.6	23075	1361	30.1201171875
2026-09-13T13:43:33+00:00	torvalds__linux	L	pipeline	30329	5279	81	94.5	23198	1361	30.5869140625
2026-09-13T13:43:48+00:00	torvalds__linux	L	pipeline	30344	4814	43	93.1	22930	1360	29.791015625
2026-09-13T13:44:03+00:00	torvalds__linux	L	pipeline	30359	4493	10	86.7	22917	1360	27.8232421875
2026-09-13T13:44:18+00:00	torvalds__linux	L	pipeline	30374	4901	52	93.0	23077	1360	28.13232421875
2026-09-13T13:44:33+00:00	torvalds__linux	L	pipeline	30389	5105	73	91.2	23195	1360	28.50830078125
